date ,stream,variable,value
2019-05-14,QPA,DIC,7.2
2019-05-21,QPA,DIC,4.22
2019-05-28,QPA,DIC,3.66
2019-06-04,QPA,DIC,5.19
2019-06-11,QPA,DIC,5.51
2019-06-18,QPA,DIC,NA
2019-06-25,QPA,DIC,6.21
2019-07-02,QPA,DIC,6.88
2019-07-09,QPA,DIC,6.27
2019-07-16,QPA,DIC,5.34
2019-07-23,QPA,DIC,5.32
2019-07-30,QPA,DIC,2.78
2019-08-06,QPA,DIC,3.2
2019-08-13,QPA,DIC,4.31
2019-08-20,QPA,DIC,3.33
2019-08-27,QPA,DIC,5.07
2019-09-03,QPA,DIC,NA
2019-09-10,QPA,DIC,4.06
2019-09-17,QPA,DIC,4.52
2019-09-24,QPA,DIC,NA
2019-10-01,QPA,DIC,3.76
2019-10-08,QPA,DIC,7.14
2019-10-15,QPA,DIC,4.83
2019-10-22,QPA,DIC,3.8
2019-10-29,QPA,DIC,2.85
2019-11-05,QPA,DIC,3.34
2019-11-12,QPA,DIC,4.45
2019-11-19,QPA,DIC,6.33
2019-11-26,QPA,DIC,NA
2019-12-03,QPA,DIC,4.5
2019-12-10,QPA,DIC,NA
2019-12-17,QPA,DIC,2.26
2019-12-24,QPA,DIC,3.11
2019-12-31,QPA,DIC,3.03
2020-01-07,QPA,DIC,NA
2020-01-14,QPA,DIC,2.08
2020-01-21,QPA,DIC,3.55
2020-01-28,QPA,DIC,3.28
2020-02-04,QPA,DIC,3.86
2020-02-11,QPA,DIC,4.27
2020-02-18,QPA,DIC,3.38
2020-02-25,QPA,DIC,1.67
2017-01-03,QPB,DOC,1.52
2017-01-10,QPB,DOC,3.19
2017-01-17,QPB,DOC,3.33
2017-01-24,QPB,DOC,0.72
2017-01-31,QPB,DOC,0.79
2017-02-07,QPB,DOC,2.43
2017-02-14,QPB,DOC,0.77
2017-02-21,QPB,DOC,1.14
2017-02-28,QPB,DOC,1.12
2017-03-07,QPB,DOC,2.28
2017-03-14,QPB,DOC,1.05
2017-03-21,QPB,DOC,1.3
2017-03-28,QPB,DOC,0.88
2017-04-04,QPB,DOC,1.38
2017-04-11,QPB,DOC,1.09
2017-04-18,QPB,DOC,1.21
2017-04-25,QPB,DOC,2.16
2017-05-02,QPB,DOC,1.56
2017-05-09,QPB,DOC,0.59
2017-05-16,QPB,DOC,1.22
2017-05-23,QPB,DOC,1.01
2017-05-30,QPB,DOC,4.45
2017-06-06,QPB,DOC,5.75
2017-06-13,QPB,DOC,1.09
2017-06-20,QPB,DOC,2.2
2017-06-27,QPB,DOC,1.7
2017-07-03,QPB,DOC,1.38
2017-07-11,QPB,DOC,1.06
2017-07-18,QPB,DOC,1.69
2017-07-25,QPB,DOC,1.12
2017-08-01,QPB,DOC,3.04
2017-08-08,QPB,DOC,1.42
2017-08-15,QPB,DOC,2.98
2017-08-22,QPB,DOC,0.9
2017-08-29,QPB,DOC,1.15
2017-09-05,QPB,DOC,0.9
2017-09-12,QPB,DOC,1.45
2017-09-18,QPB,DOC,0.79
2017-09-26,QPB,DOC,0.69
2017-10-03,QPB,DOC,1.18
2017-10-10,QPB,DOC,1.55
2017-10-17,QPB,DOC,NA
2017-10-24,QPB,DOC,1.08
2017-10-31,QPB,DOC,1.18
2017-11-07,QPB,DOC,2.85
2017-11-14,QPB,DOC,1.85
2017-11-21,QPB,DOC,1.16
2017-11-28,QPB,DOC,0.79
